session,index_r2,mrs_r2
sub-Monkey-N_ses-20220921_obj-1k78ex8_ecephys,0.37976481162455633,0.38338149035624036
sub-Monkey-N_ses-20220921_obj-iknmjb_ecephys,0.42893687930759195,0.48560862134319016
sub-Monkey-N_ses-20220923_ecephys,0.3184275859750192,0.5730264705055412
sub-Monkey-N_ses-20220926_ecephys,0.45483054928238,0.47530971959804436
sub-Monkey-N_ses-20220927_ecephys,0.5913689865531104,0.5947566692920283
sub-Monkey-N_ses-20220930_ecephys,0.4839215596774852,0.5741140738784833
sub-Monkey-N_ses-20221003_ecephys,0.6024067016671315,0.60305053139252
sub-Monkey-N_ses-20221010_ecephys,0.3376048968723513,0.5481050660914466
sub-Monkey-N_ses-20221012_ecephys,0.3732758930997827,0.500695506157436
sub-Monkey-N_ses-20221025_ecephys,0.5702199195264183,0.5274546407324743
sub-Monkey-N_ses-20221027_ecephys,0.4034099299843119,0.42723604798221937
sub-Monkey-N_ses-20221101_ecephys,0.5350692239409093,0.6094555696949103
sub-Monkey-N_ses-20221102_obj-3s4gm4_ecephys,0.5752417484151746,0.5010953432233536
sub-Monkey-N_ses-20221102_obj-ndh6o5_ecephys,0.5459228330317474,0.480100559075998
sub-Monkey-N_ses-20221104_ecephys,0.36298582059194395,0.3271606892615646
sub-Monkey-N_ses-20221107_ecephys,0.5348590653527412,0.47152431860657384
sub-Monkey-N_ses-20221109_ecephys,0.37192682111855346,0.4529620865232262
sub-Monkey-N_ses-20221209_ecephys,0.4066113118158118,0.418354921810678
sub-Monkey-N_ses-20230110_ecephys,0.33119020956073075,0.34560756415668936
sub-Monkey-N_ses-20230113_ecephys,0.4553776372274022,0.3900710380375795
sub-Monkey-N_ses-20230117_ecephys,0.4131229859890536,0.3423183448779863
sub-Monkey-N_ses-20230123_ecephys,0.3899493556246666,0.5436434061573546
sub-Monkey-N_ses-20230124_ecephys,0.5686215579516574,0.45264151518627505
sub-Monkey-N_ses-20230127_ecephys,0.5299365174625317,0.29889912031488175
sub-Monkey-N_ses-20230130_ecephys,0.503648006770907,0.46229479473878365
sub-Monkey-N_ses-20230131_ecephys,0.4497602048451914,0.4921648181342816
sub-Monkey-N_ses-20230203_ecephys,0.4356965726215697,0.43980801826785776
sub-Monkey-N_ses-20230206_ecephys,0.39842591642367386,0.4753222710599453
sub-Monkey-N_ses-20230207_ecephys,0.5734000215827224,0.4507413048009411
sub-Monkey-N_ses-20230210_ecephys,0.2827968671222385,0.34567648641151427
sub-Monkey-N_ses-20230213_ecephys,0.41084311420739794,0.30740204880840194
sub-Monkey-N_ses-20230214_ecephys,0.4222334848532253,0.43159668259896833
sub-Monkey-N_ses-20230220_ecephys,0.5313611299611564,0.569313929676702
sub-Monkey-N_ses-20230224_ecephys,0.4857754700823419,0.527370303795861
sub-Monkey-N_ses-20230306_ecephys,0.3716341845441976,0.3682998431834227
sub-Monkey-N_ses-20230310_ecephys,0.3869090261118997,0.39027083439928656
sub-Monkey-N_ses-20230313_ecephys,0.46713427460699675,0.47922713065956135
sub-Monkey-N_ses-20230314_ecephys,0.3827369070818736,0.37221782473506326
sub-Monkey-N_ses-20230317_ecephys,0.47868349918638475,0.4958805247741752
sub-Monkey-N_ses-20230320_ecephys,0.4853471870760483,0.5562544476978695
sub-Monkey-N_ses-20230328_ecephys,0.4178381067693052,0.4514610217636764
sub-Monkey-N_ses-20230404_ecephys,0.41658260825983395,0.38545828141365024
sub-Monkey-N_ses-20230405_ecephys,0.46929215077204467,0.4769158443584569
sub-Monkey-N_ses-20230407_ecephys,0.5175093017501633,0.5566655277233822
sub-Monkey-N_ses-20230411_ecephys,0.4914379442075467,0.5265295788077369
sub-Monkey-N_ses-20230413_ecephys,0.5329063876872433,0.4969358796571097
sub-Monkey-N_ses-20230414_ecephys,0.5444849487880193,0.5334549262801626
sub-Monkey-N_ses-20230417_ecephys,0.5732828883919154,0.5297459846603823
sub-Monkey-N_ses-20230425_ecephys,0.40657094121231596,0.4407017876710626
sub-Monkey-N_ses-20230426_ecephys,0.5578780182434766,0.45168132564808905
sub-Monkey-N_ses-20230502_ecephys,0.36474513409468357,0.31586633169738787
sub-Monkey-N_ses-20230508_ecephys,0.43470489723548567,0.44280945258850646
sub-Monkey-N_ses-20230517_ecephys,0.38016464925446913,0.35337538777885336
sub-Monkey-N_ses-20230519_ecephys,0.1395304769382747,0.11954250175646008
sub-Monkey-N_ses-20230606_ecephys,0.26445384151941,0.354087185039036
sub-Monkey-N_ses-20230608_ecephys,0.33830770760625795,0.3717864582704046
sub-Monkey-N_ses-20230612_ecephys,0.38412970035715144,0.36864838045761383
sub-Monkey-N_ses-20230613_ecephys,0.4217421317163822,0.2912596900780522
sub-Monkey-N_ses-20230616_ecephys,0.4379952751893652,0.4355564374687453
sub-Monkey-N_ses-20230619_ecephys,0.32163175382944387,0.3535080712481572
sub-Monkey-N_ses-20230620_ecephys,0.48739149396085824,0.5483493356074367
sub-Monkey-N_ses-20230621_ecephys,0.3965527033281874,0.44318012581649946
sub-Monkey-N_ses-20230622_ecephys,0.41318056906920186,0.11923439310298622
