session,index_r2,mrs_r2
sub-Monkey-N_ses-20220921_obj-1k78ex8_ecephys,0.24081290301991887,0.32375224760682886
sub-Monkey-N_ses-20220921_obj-iknmjb_ecephys,0.25518057206986233,0.32752372176091915
sub-Monkey-N_ses-20220923_ecephys,0.30913810438899625,0.6186585207949722
sub-Monkey-N_ses-20220926_ecephys,0.38104405609803516,0.5345660011047162
sub-Monkey-N_ses-20220927_ecephys,0.44519858465869955,0.5878090877395598
sub-Monkey-N_ses-20220930_ecephys,0.26838972196133437,0.5095691176371598
sub-Monkey-N_ses-20221003_ecephys,0.4862989447238598,0.49887898544996123
sub-Monkey-N_ses-20221010_ecephys,0.28468342886310605,0.5303837319484109
sub-Monkey-N_ses-20221012_ecephys,0.1772952122589716,0.41491511174704443
sub-Monkey-N_ses-20221025_ecephys,0.2704499994887094,0.4265028562469795
sub-Monkey-N_ses-20221027_ecephys,0.18417012094326912,0.3895767330975256
sub-Monkey-N_ses-20221101_ecephys,0.3762052214229956,0.5304952878669595
sub-Monkey-N_ses-20221102_obj-3s4gm4_ecephys,0.3936064749518787,0.39239855477460484
sub-Monkey-N_ses-20221102_obj-ndh6o5_ecephys,0.4236728774420613,0.435392889646841
sub-Monkey-N_ses-20221104_ecephys,0.09954486782812388,0.18494319960824768
sub-Monkey-N_ses-20221107_ecephys,0.3880568630591077,0.4525093151919437
sub-Monkey-N_ses-20221109_ecephys,0.1522971346208637,0.30087410607197906
sub-Monkey-N_ses-20221209_ecephys,0.2851664383196131,0.3593383742330216
sub-Monkey-N_ses-20230110_ecephys,0.07610521038172435,0.22069062698523934
sub-Monkey-N_ses-20230113_ecephys,0.36559785549427826,0.3437744971104082
sub-Monkey-N_ses-20230117_ecephys,0.07827256269572191,-0.07189628123392344
sub-Monkey-N_ses-20230123_ecephys,0.03081602409040385,0.44320629407385437
sub-Monkey-N_ses-20230124_ecephys,0.21902537526183874,0.38808193050815143
sub-Monkey-N_ses-20230127_ecephys,0.41819152221595135,0.4220933310384405
sub-Monkey-N_ses-20230130_ecephys,0.26662243932924423,0.40328956807447724
sub-Monkey-N_ses-20230131_ecephys,0.22780873053808937,0.37762674579296285
sub-Monkey-N_ses-20230203_ecephys,0.23309927851454748,0.3653116223684497
sub-Monkey-N_ses-20230206_ecephys,0.1344877109854674,0.37532374907159116
sub-Monkey-N_ses-20230207_ecephys,0.37476332021525294,0.3528967612630357
sub-Monkey-N_ses-20230210_ecephys,0.33898224139524524,0.35493369116262186
sub-Monkey-N_ses-20230213_ecephys,0.14950616565718056,0.24348192371506672
sub-Monkey-N_ses-20230214_ecephys,0.34874696184019915,0.4194742317572875
sub-Monkey-N_ses-20230220_ecephys,0.10443082752360577,0.5179576447339875
sub-Monkey-N_ses-20230224_ecephys,0.250704386189028,0.5066595592979799
sub-Monkey-N_ses-20230306_ecephys,0.031053737601476672,0.2735403205550391
sub-Monkey-N_ses-20230310_ecephys,0.06006135733564011,0.30268466058650456
sub-Monkey-N_ses-20230313_ecephys,0.13646226390865712,0.3567171614298641
sub-Monkey-N_ses-20230314_ecephys,0.17390709900594836,0.3238599217058735
sub-Monkey-N_ses-20230317_ecephys,0.4144324588101558,0.5308750462710009
sub-Monkey-N_ses-20230320_ecephys,0.2419344663709867,0.4103045811066457
sub-Monkey-N_ses-20230328_ecephys,0.22522921891336645,0.32019985006540985
sub-Monkey-N_ses-20230404_ecephys,0.3853454685079186,0.3663880743231047
sub-Monkey-N_ses-20230405_ecephys,0.41771005388428517,0.44966354668058905
sub-Monkey-N_ses-20230407_ecephys,0.43460394692325477,0.5197300106939484
sub-Monkey-N_ses-20230411_ecephys,0.40062664823240757,0.4904803640833373
sub-Monkey-N_ses-20230413_ecephys,0.2675395043135059,0.46898484082628455
sub-Monkey-N_ses-20230414_ecephys,0.3675566311529047,0.5425687706791429
sub-Monkey-N_ses-20230417_ecephys,0.35980019067765623,0.43620136803296505
sub-Monkey-N_ses-20230425_ecephys,0.3004403531956511,0.3866990156606005
sub-Monkey-N_ses-20230426_ecephys,0.3800034397043899,0.41966538027036704
sub-Monkey-N_ses-20230502_ecephys,0.39010619497396515,0.2490712190507377
sub-Monkey-N_ses-20230508_ecephys,0.10002945250965334,0.33408455445173535
sub-Monkey-N_ses-20230517_ecephys,-0.03611258672303519,0.08354177465917223
sub-Monkey-N_ses-20230519_ecephys,-0.18189133137367075,-0.026868858569459864
sub-Monkey-N_ses-20230606_ecephys,0.08381290967778177,0.3953692399417149
sub-Monkey-N_ses-20230608_ecephys,0.03138207618172528,0.3491698982446453
sub-Monkey-N_ses-20230612_ecephys,0.1344209919492274,0.38739740095039377
sub-Monkey-N_ses-20230613_ecephys,0.3094267855750552,0.3775337704165702
sub-Monkey-N_ses-20230616_ecephys,0.46716198633915873,0.5576566665812901
sub-Monkey-N_ses-20230619_ecephys,0.27837331399423426,0.4324368555731225
sub-Monkey-N_ses-20230620_ecephys,0.29456850785183253,0.5835711470481506
sub-Monkey-N_ses-20230621_ecephys,0.20384399847753176,0.4020287854128295
sub-Monkey-N_ses-20230622_ecephys,0.38733347396445117,0.19735881187835214
