session,index_r2,mrs_r2
sub-Monkey-N_ses-20220921_obj-1k78ex8_ecephys,0.4180231903738114,0.43712629073864573
sub-Monkey-N_ses-20220921_obj-iknmjb_ecephys,0.5164238925766576,0.45383822084525516
sub-Monkey-N_ses-20220923_ecephys,0.4931335871382527,0.6385225035576626
sub-Monkey-N_ses-20220926_ecephys,0.5667694503713319,0.6733915313513124
sub-Monkey-N_ses-20220927_ecephys,0.6486095484575674,0.6983887133567754
sub-Monkey-N_ses-20220930_ecephys,0.525017687353641,0.6238003063656279
sub-Monkey-N_ses-20221003_ecephys,0.6689674122746536,0.684405869680446
sub-Monkey-N_ses-20221010_ecephys,0.47399140068453116,0.6346544499492075
sub-Monkey-N_ses-20221012_ecephys,0.40631567853121553,0.5543285725865467
sub-Monkey-N_ses-20221025_ecephys,0.6266143532170292,0.5911221783297758
sub-Monkey-N_ses-20221027_ecephys,0.48423881948561787,0.5301116632393285
sub-Monkey-N_ses-20221101_ecephys,0.6022041536522651,0.6284426884951277
sub-Monkey-N_ses-20221102_obj-3s4gm4_ecephys,0.6274512538365944,0.5497519080751017
sub-Monkey-N_ses-20221102_obj-ndh6o5_ecephys,0.5932643283721629,0.6089968600088007
sub-Monkey-N_ses-20221104_ecephys,0.441971998348343,0.3859868164706004
sub-Monkey-N_ses-20221107_ecephys,0.5618054487917257,0.6068584463961906
sub-Monkey-N_ses-20221109_ecephys,0.440971740903756,0.5060383560018298
sub-Monkey-N_ses-20221209_ecephys,0.42672895279850576,0.48588731735870094
sub-Monkey-N_ses-20230110_ecephys,0.3781349269676568,0.3708602904230547
sub-Monkey-N_ses-20230113_ecephys,0.6003582046989155,0.48347951068408945
sub-Monkey-N_ses-20230117_ecephys,0.472440839380984,0.3354375600377498
sub-Monkey-N_ses-20230123_ecephys,0.5302998667192641,0.6294409072310383
sub-Monkey-N_ses-20230124_ecephys,0.6100562816501696,0.5723299897039626
sub-Monkey-N_ses-20230127_ecephys,0.636207130267082,0.45350945419252553
sub-Monkey-N_ses-20230130_ecephys,0.5148765567725286,0.5202723767633078
sub-Monkey-N_ses-20230131_ecephys,0.502513574502979,0.523495718646455
sub-Monkey-N_ses-20230203_ecephys,0.49465984821611364,0.4802393421869563
sub-Monkey-N_ses-20230206_ecephys,0.4234943281674588,0.5292249698085254
sub-Monkey-N_ses-20230207_ecephys,0.637231768633783,0.5049259997380913
sub-Monkey-N_ses-20230210_ecephys,0.41203684527855977,0.3629726991449981
sub-Monkey-N_ses-20230213_ecephys,0.45251907237333033,0.4335416694871367
sub-Monkey-N_ses-20230214_ecephys,0.5088362276385877,0.48763906039318583
sub-Monkey-N_ses-20230220_ecephys,0.5764724000489381,0.6369239969752967
sub-Monkey-N_ses-20230224_ecephys,0.5255277596005691,0.5853652430350658
sub-Monkey-N_ses-20230306_ecephys,0.4015793323178317,0.47044908333154434
sub-Monkey-N_ses-20230310_ecephys,0.3998729440355916,0.4717475079895359
sub-Monkey-N_ses-20230313_ecephys,0.47214847236947755,0.4319516293756819
sub-Monkey-N_ses-20230314_ecephys,0.42854904663188176,0.3699177706633887
sub-Monkey-N_ses-20230317_ecephys,0.5857917557810841,0.5189329880475448
sub-Monkey-N_ses-20230320_ecephys,0.5908472821417319,0.5482992188961834
sub-Monkey-N_ses-20230328_ecephys,0.5334669456277774,0.4667923194648732
sub-Monkey-N_ses-20230404_ecephys,0.47184649235188136,0.5802269684458936
sub-Monkey-N_ses-20230405_ecephys,0.600683512439058,0.5746224377072078
sub-Monkey-N_ses-20230407_ecephys,0.5936405564325098,0.6273103263561983
sub-Monkey-N_ses-20230411_ecephys,0.506357153135039,0.6314946495174639
sub-Monkey-N_ses-20230413_ecephys,0.5633488659306427,0.6300469839497117
sub-Monkey-N_ses-20230414_ecephys,0.6413446298475036,0.676941791754535
sub-Monkey-N_ses-20230417_ecephys,0.6387008927108779,0.5850955968131932
sub-Monkey-N_ses-20230425_ecephys,0.54097292186895,0.5057000077265456
sub-Monkey-N_ses-20230426_ecephys,0.6429763648210498,0.48461855418268274
sub-Monkey-N_ses-20230502_ecephys,0.46586893496492343,0.3254076885205158
sub-Monkey-N_ses-20230508_ecephys,0.5396977122889013,0.48125647943637806
sub-Monkey-N_ses-20230517_ecephys,0.49222734612515184,0.3005981697399105
sub-Monkey-N_ses-20230519_ecephys,0.1873825887220204,0.17409663644459228
sub-Monkey-N_ses-20230606_ecephys,0.3393737332557547,0.4178373554247883
sub-Monkey-N_ses-20230608_ecephys,0.5589791025923389,0.5138889911320217
sub-Monkey-N_ses-20230612_ecephys,0.45014209952795436,0.40160199930370744
sub-Monkey-N_ses-20230613_ecephys,0.42226656500611115,0.40294345247892627
sub-Monkey-N_ses-20230616_ecephys,0.6013462583633671,0.5286413420518254
sub-Monkey-N_ses-20230619_ecephys,0.4193870708086863,0.4406729079210342
sub-Monkey-N_ses-20230620_ecephys,0.5834490291932556,0.5930614433373915
sub-Monkey-N_ses-20230621_ecephys,0.44040829619402466,0.4212025997832548
sub-Monkey-N_ses-20230622_ecephys,0.5254740363873254,0.25651522930894854
