session,index_r2,mrs_r2
sub-Monkey-N_ses-20220921_obj-1k78ex8_ecephys,0.04398858392329519,0.05695338841595565
sub-Monkey-N_ses-20220921_obj-iknmjb_ecephys,0.048056856234688916,0.05817494801672618
sub-Monkey-N_ses-20220923_ecephys,0.016504971494824106,0.10436894988103651
sub-Monkey-N_ses-20220926_ecephys,0.08024357638422308,0.06600290561988476
sub-Monkey-N_ses-20220927_ecephys,0.0966083342174463,0.1094662006688526
sub-Monkey-N_ses-20220930_ecephys,0.03613151123032532,0.07839417789251124
sub-Monkey-N_ses-20221003_ecephys,0.06226347999529891,0.11030996092204226
sub-Monkey-N_ses-20221010_ecephys,0.03496320967421884,0.06147200274389997
sub-Monkey-N_ses-20221012_ecephys,0.04337806698492441,0.06955816983855034
sub-Monkey-N_ses-20221025_ecephys,0.058191544837023934,0.07012514829189431
sub-Monkey-N_ses-20221027_ecephys,0.06309565883555746,0.08130156591056725
sub-Monkey-N_ses-20221101_ecephys,0.05010044171273986,0.10963564576402174
sub-Monkey-N_ses-20221102_obj-3s4gm4_ecephys,0.060104408791231245,0.08446476959187876
sub-Monkey-N_ses-20221102_obj-ndh6o5_ecephys,0.06004221540151844,0.08821337544682994
sub-Monkey-N_ses-20221104_ecephys,0.03966484648516255,0.04172235352980036
sub-Monkey-N_ses-20221107_ecephys,0.06778627455565556,0.08764979879229062
sub-Monkey-N_ses-20221109_ecephys,0.051474467954456204,0.08905952638816694
sub-Monkey-N_ses-20221209_ecephys,0.03416531136864476,0.09492262578823685
sub-Monkey-N_ses-20230110_ecephys,0.0453950649702175,0.041679867866863285
sub-Monkey-N_ses-20230113_ecephys,0.02677929178390026,0.0142030807717618
sub-Monkey-N_ses-20230117_ecephys,0.03032663266921576,0.0747748532114304
sub-Monkey-N_ses-20230123_ecephys,0.039058781122977226,0.09253994242340013
sub-Monkey-N_ses-20230124_ecephys,0.05382736375854191,0.06693199991837806
sub-Monkey-N_ses-20230127_ecephys,-0.0018811248976686734,0.010028476099602113
sub-Monkey-N_ses-20230130_ecephys,0.038783284079882185,0.06622328956132384
sub-Monkey-N_ses-20230131_ecephys,0.03988685148916782,0.07643515987893923
sub-Monkey-N_ses-20230203_ecephys,0.04108279079061827,0.07350628738756604
sub-Monkey-N_ses-20230206_ecephys,0.034264945954705084,0.07325928374543378
sub-Monkey-N_ses-20230207_ecephys,0.040654811754918585,0.07311158637900872
sub-Monkey-N_ses-20230210_ecephys,-0.005631058331886596,0.04439091174263554
sub-Monkey-N_ses-20230213_ecephys,0.05910584821533782,0.05458518933163725
sub-Monkey-N_ses-20230214_ecephys,0.04899144711140779,0.07678525625622112
sub-Monkey-N_ses-20230220_ecephys,0.05650471331612694,0.08676415475497201
sub-Monkey-N_ses-20230224_ecephys,0.053198781856963584,0.0859438550327919
sub-Monkey-N_ses-20230306_ecephys,0.04850470161603082,0.05997789750798943
sub-Monkey-N_ses-20230310_ecephys,0.06596552729779848,0.08635410541117472
sub-Monkey-N_ses-20230313_ecephys,0.08975199695982705,0.08480408220707203
sub-Monkey-N_ses-20230314_ecephys,0.05575029301832857,0.05982869453298012
sub-Monkey-N_ses-20230317_ecephys,0.02583818890910372,0.08217252432280187
sub-Monkey-N_ses-20230320_ecephys,0.027729927859992176,0.07787953300041706
sub-Monkey-N_ses-20230328_ecephys,0.026290813716235317,0.046955440861089826
sub-Monkey-N_ses-20230404_ecephys,0.043566485855735304,0.047612205612333924
sub-Monkey-N_ses-20230405_ecephys,0.052288731116250764,0.07861095122234296
sub-Monkey-N_ses-20230407_ecephys,0.03465875993046885,0.08066267254445558
sub-Monkey-N_ses-20230411_ecephys,0.05127895836924212,0.08396053594665664
sub-Monkey-N_ses-20230413_ecephys,0.049291908212932944,0.06350491931256363
sub-Monkey-N_ses-20230414_ecephys,0.049763186769760104,0.08209348930610338
sub-Monkey-N_ses-20230417_ecephys,0.046785269371976024,0.0765094941113671
sub-Monkey-N_ses-20230425_ecephys,0.027258619518518268,0.04108862169568017
sub-Monkey-N_ses-20230426_ecephys,0.036084255371666485,0.05252601949323932
sub-Monkey-N_ses-20230502_ecephys,0.03073446081205533,0.04811197636759579
sub-Monkey-N_ses-20230508_ecephys,0.056425240077029315,0.05726321433005033
sub-Monkey-N_ses-20230517_ecephys,0.02957630061370975,0.02200699459910005
sub-Monkey-N_ses-20230519_ecephys,0.005642968009568872,-0.018169184769285973
sub-Monkey-N_ses-20230606_ecephys,0.03345938537196713,0.040139555131543436
sub-Monkey-N_ses-20230608_ecephys,0.02257940547486692,0.024265266445964384
sub-Monkey-N_ses-20230612_ecephys,0.040522074417580045,0.04752510097487961
sub-Monkey-N_ses-20230613_ecephys,0.05331558851327611,0.040703582882636535
sub-Monkey-N_ses-20230616_ecephys,0.019652675260246166,0.05729719732584948
sub-Monkey-N_ses-20230619_ecephys,0.031539359346570706,0.03394060202736959
sub-Monkey-N_ses-20230620_ecephys,0.03025359785210857,0.06381612014762383
sub-Monkey-N_ses-20230621_ecephys,0.04140522989117912,0.049631980436175116
sub-Monkey-N_ses-20230622_ecephys,0.023588332577470728,0.046556655529883084
